Symbol,Name,Last,Change,%Chg,High,Low,Volume,Time
IVZ,"Invesco Plc",17.79,-0.010000000000002,-0.06%,18.05,17.63,6121914,12/04/20
J,"Jacobs Engineering Group Inc",108.96,1.17,+1.09%,111.1,107.78,655191,12/04/20
JBHT,"J B Hunt Transport",137.24,2.86,+2.13%,137.55,134.5,560900,12/04/20
JCI,"Johnson Controls Intl",45.89,0.16,+0.35%,46.32,45.59,5273216,12/04/20
JKHY,"Jack Henry & Assoc",158.48,0.47,+0.30%,160.43,157.88,481300,12/04/20
JNJ,"Johnson & Johnson",150.27,1.27,+0.85%,150.31,149.27,6747083,12/04/20
JNPR,"Juniper Networks",21.98,0.35,+1.62%,22.01,21.61,4802334,12/04/20
JPM,"JP Morgan Chase & Company",122.34,1.1,+0.91%,123.29,121.69,13583654,12/04/20
K,"Kellogg Company",62.37,-0.63,-1.00%,62.92,61.99,2736627,12/04/20
KEY,Keycorp,16.12,0.16,+1.00%,16.31,15.96,12094931,12/04/20
KEYS,"Keysight Technologies Inc Comm",123.21,0.56999999999999,+0.46%,124.75,122.69,878994,12/04/20
KHC,"Kraft Heinz Company",34.12,0.67,+2.00%,34.15,33.64,6146800,12/04/20
KIM,"Kimco Realty Corp",15.61,0.42,+2.76%,15.7,15.28,4386080,12/04/20
KLAC,"K L A-Tencor Corp",263.7,6.31,+2.45%,264.17,258.08,748900,12/04/20
KMB,"Kimberly-Clark Corp",137.4,-0.41999999999999,-0.30%,138.06,136.08,2131004,12/04/20
KMI,"Kinder Morgan",14.93,0.44,+3.04%,15.1,14.67,17456087,12/04/20
KMX,"Carmax Inc",96.5,0.23,+0.24%,97.08,95.65,1007366,12/04/20
KO,"Coca-Cola Company",53.85,1.07,+2.03%,53.87,52.76,18122399,12/04/20
KR,"Kroger Company",30.58,-0.3,-0.97%,30.91,30.43,18170139,12/04/20
KSU,"Kansas City Southern",194.2,5.1,+2.70%,194.23,189.1,786664,12/04/20
L,"Loews Corp",43.35,0.73,+1.71%,43.61,42.67,1025407,12/04/20
LB,"L Brands Inc",38.25,-0.1,-0.26%,38.45,36.51,3918330,12/04/20
LDOS,"Leidos Holdings Inc",104.81,1.92,+1.87%,104.88,102.78,389140,12/04/20
LEG,"Leggett & Platt Inc",44.64,0.37,+0.84%,45.17,44.16,590334,12/04/20
LEN,"Lennar Corp",73.88,-1.54,-2.04%,75.21,73.33,2818600,12/04/20
LH,"Laboratory Corp of America Holdings",198.85,2.21,+1.12%,199.26,195.91,1078796,12/04/20
LHX,"L3Harris Technologies Inc",195.04,2.34,+1.21%,197.24,193.46,1150858,12/04/20
LIN,"Linde Plc",250.62,4.42,+1.80%,250.62,244.77,3030913,12/04/20
LKQ,"LKQ Corp",37.09,0.91,+2.52%,37.1,36.12,1640200,12/04/20
LLY,"Eli Lilly and Company",148.45,4.34,+3.01%,148.72,144,3058757,12/04/20
LMT,"Lockheed Martin Corp",366.61,4.58,+1.27%,367.73,362.11,1222573,12/04/20
LNC,"Lincoln National Corp",54.73,2.52,+4.83%,54.79,53.04,1713067,12/04/20
LNT,"Alliant Energy Corp",52.88,-0.48,-0.90%,53.77,52.66,1270000,12/04/20
LOW,"Lowe's Companies",150,-1.97,-1.30%,152.4,149.83,4709070,12/04/20
LRCX,"Lam Research Corp",499.98,15.91,+3.29%,501.6,486.16,1755100,12/04/20
LUMN,Centurylink,10.56,0.050000000000001,+0.48%,10.65,10.5,8411115,12/04/20
LUV,"Southwest Airlines Company",47.59,-0.23,-0.48%,48.79,47.07,7615787,12/04/20
LVS,"Las Vegas Sands",60.11,1.45,+2.47%,60.12,58.85,4913462,12/04/20
LW,"Lamb Weston Holdings Inc",76.38,0.72,+0.95%,76.39,75.03,1332753,12/04/20
LYB,"Lyondellbasell Industries NV",89.26,3.63,+4.24%,89.58,86.24,1903410,12/04/20
LYV,"Live Nation Entertainment",70,0.78,+1.13%,70.22,69.51,2250433,12/04/20
MA,"Mastercard Inc",344.35,9.21,+2.75%,344.35,335.8,4323636,12/04/20
MAA,"Mid-America Apartment Communities",125.13,1.48,+1.20%,125.42,123.57,610314,12/04/20
MAR,"Marriot Int Cl A",135.61,3.29,+2.49%,135.84,132.77,1923200,12/04/20
MAS,"Masco Corp",51.59,-0.47,-0.90%,52.36,51.53,2174971,12/04/20
MCD,"McDonald's Corp",210.74,-0.76999999999998,-0.36%,213.38,210.1,3151060,12/04/20
MCHP,"Microchip Technology",144.24,5.73,+4.14%,144.49,138.32,2247100,12/04/20
MCK,"Mckesson Corp",180.76,1.6,+0.89%,181.19,178.78,812306,12/04/20
MCO,"Moody's Corp",285.66,5.78,+2.07%,288.37,280.32,1052815,12/04/20
MDLZ,"Mondelez Intl Inc",59.03,0.47,+0.80%,59.12,58.63,5384900,12/04/20
MDT,"Medtronic Inc",113.85,1.38,+1.23%,113.86,111.7,4077936,12/04/20
MET,"Metlife Inc",48.47,0.76,+1.59%,48.89,48.01,5154396,12/04/20
MGM,"MGM Resorts International",30.72,0.81,+2.71%,30.79,29.51,15150886,12/04/20
MHK,"Mohawk Industries",132.85,0.56999999999999,+0.43%,134.53,131.62,483812,12/04/20
MKC,"Mccormick & Company Inc",93.95,1.3,+1.40%,93.95,92,838950,12/04/20
MKTX,"Marketaxess Holdings",539.17,-16.46,-2.96%,573.84,535.98,480500,12/04/20
MLM,"Martin Marietta Materials",284.94,3.79,+1.35%,287.15,281.38,439055,12/04/20
MMC,"Marsh & Mclennan Companies",117.32,0.77999999999999,+0.67%,117.39,115.33,2077142,12/04/20
MMM,"3M Company",172.46,0.63,+0.37%,173.16,171.54,2663697,12/04/20
MNST,"Monster Beverage Cp",87.44,0.92,+1.06%,87.61,86.13,1821300,12/04/20
MO,"Altria Group",41.37,0.95,+2.35%,41.37,40.6,9814039,12/04/20
MOS,"Mosaic Company",22.78,1.55,+7.30%,22.84,21.47,8090754,12/04/20
MPC,"Marathon Petroleum Corp",42.91,1.92,+4.68%,43.56,41.72,5557723,12/04/20
MRK,"Merck & Company",81.94,0.48999999999999,+0.60%,81.96,81.11,8255332,12/04/20
MRO,"Marathon Oil Corp",6.85,0.66,+10.66%,6.85,6.34,41865943,12/04/20
MS,"Morgan Stanley",65,0.94,+1.47%,65.19,64.28,10169667,12/04/20
MSCI,"MSCI Inc",421.71,2.41,+0.57%,428.49,419.3,660584,12/04/20
MSFT,"Microsoft Corp",214.36,0.12,+0.06%,215.38,213.18,24666000,12/04/20
MSI,"Motorola Solutions",170.4,-0.72,-0.42%,172.44,169.5,810342,12/04/20
MTB,"M&T Bank Corp",128.02,3.19,+2.56%,128.08,124.71,1304146,12/04/20
MTD,"Mettler-Toledo International",1131.75,-0.25,-0.02%,1140.6,1122.68,172969,12/04/20
MU,"Micron Technology",73.34,3.44,+4.92%,74.38,70.54,31860801,12/04/20
MXIM,"Maxim Integrated",86.41,2.4,+2.86%,86.6,83.68,1807600,12/04/20
NCLH,"Norwegian Cruise Ord",26.3,0.88,+3.46%,26.45,25.17,33184987,12/04/20
NDAQ,"Nasdaq Inc",125.3,0.4,+0.32%,127,124.68,850100,12/04/20
NEE,"Nextera Energy",72.52,-0.83,-1.13%,73.55,71.94,7763769,12/04/20
NEM,"Newmont Mining Corp",59.44,-0.07,-0.12%,59.86,59.01,5107552,12/04/20
NFLX,"Netflix Inc",498.31,0.79,+0.16%,504.5,493.64,3666200,12/04/20
NI,"NiSource Inc",24,-0.36,-1.48%,24.47,23.97,2529724,12/04/20
NKE,"Nike Inc",137.19,0.22999999999999,+0.17%,137.4,135.64,4344036,12/04/20
NLOK,"Nortonlifelock Inc",19.27,0.17,+0.89%,19.29,18.98,5377300,12/04/20
NLSN,"Nielsen Holdings Plc",17.96,0.72,+4.18%,18,17.25,11160344,12/04/20
NOC,"Northrop Grumman Corp",307.23,3.8,+1.25%,307.69,303.12,794302,12/04/20
NOV,National-Oilwell,14.55,1.12,+8.34%,14.56,13.52,6251697,12/04/20
NOW,"Servicenow Inc",525.7,0.46000000000004,+0.09%,529.75,522.24,744666,12/04/20
NRG,"NRG Energy",34.52,1.42,+4.29%,34.54,33.07,2814300,12/04/20
NSC,"Norfolk Southern Corp",240.19,3.04,+1.28%,240.38,237.69,906199,12/04/20
NTAP,"Netapp Inc",59.99,1.5,+2.56%,60.08,58.5,1894200,12/04/20
NTRS,"Northern Trust Corp",94.81,1.82,+1.96%,95.36,93.7,1184700,12/04/20
NUE,"Nucor Corp",56.42,1.62,+2.96%,57,55.18,1675212,12/04/20
NVDA,"Nvidia Corp",542.33,6.49,+1.21%,542.4,535.55,5056000,12/04/20
NVR,"NVR Inc",3999.99,-0.010000000000218,0.00%,4029.53,3943.02,30768,12/04/20
NWL,"Newell Rubbermaid Inc",22.03,0.26,+1.19%,22.09,21.65,1954500,12/04/20
NWS,"News Cp Cl B",18.67,0.1,+0.54%,18.73,18.44,298800,12/04/20
NWSA,"News Cp Cl A",18.67,0.1,+0.57%,18.7,18.41,4480300,12/04/20
O,"Realty Income Corp",61.26,0.16999999999999,+0.28%,61.89,60.89,1886109,12/04/20
ODFL,"Old Dominion Freight Line Inc",209.25,2.24,+1.08%,212.58,208.32,672500,12/04/20
OKE,"Oneok Inc",40.63,2.14,+5.56%,40.71,39.43,3931956,12/04/20
OMC,"Omnicom Group Inc",64.99,-0.070000000000007,-0.11%,65.8,64.74,1997203,12/04/20
ORCL,"Oracle Corp",59.96,0.69,+1.16%,60.55,59.27,10872722,12/04/20
ORLY,"O'Reilly Automotive",450,3.5,+0.78%,451.05,446.34,321500,12/04/20
OTIS,"Otis Worldwide Corp [Otis/I]",65.16,-0.33,-0.50%,66.04,64.88,2054250,12/04/20
OXY,"Occidental Petroleum Corp",18.59,2.2,+13.42%,18.61,16.9,52874458,12/04/20
PAYC,"Paycom Software Inc",437.15,8.67,+2.02%,439.73,430.45,354606,12/04/20
PAYX,"Paychex Inc",94.47,1.17,+1.25%,94.55,92.98,1663600,12/04/20
PBCT,"People's United Finl",13.23,0.34,+2.64%,13.26,12.91,4041600,12/04/20
PCAR,"Paccar Inc",86.7,0.45,+0.52%,87.39,85.7,2042600,12/04/20
PEAK,"Healthpeak Properties Inc",30.59,0.52,+1.73%,30.69,29.96,3376090,12/04/20
PEG,"Public Service Enterprise Group Inc",57.63,0,0.00%,57.94,57.29,3044993,12/04/20
PEP,"Pepsico Inc",145.85,1.4,+0.97%,145.98,143.85,3592500,12/04/20
PFE,"Pfizer Inc",40.34,0.25,+0.62%,40.45,39.89,35368133,12/04/20
PFG,"Principal Financial Group Inc",52.28,0.92,+1.79%,52.7,51.85,1111300,12/04/20
PG,"Procter & Gamble Company",137.47,0.13,+0.09%,137.86,135.87,6617372,12/04/20
PGR,"Progressive Corp",89.52,1.22,+1.38%,89.6,87.54,2229099,12/04/20
PH,"Parker-Hannifin Corp",275.74,6.62,+2.46%,277.05,270.91,822773,12/04/20
PHM,Pultegroup,42.06,-1.11,-2.57%,43.2,41.95,4251310,12/04/20
PKG,"Packaging Corp of America",133.17,1.63,+1.24%,134,132.3,512013,12/04/20
PKI,Perkinelmer,141.78,3.76,+2.72%,141.88,138.3,750263,12/04/20
PLD,"Prologis Inc",98.66,1.56,+1.61%,98.75,97.25,3284262,12/04/20
PM,"Philip Morris International Inc",80.75,2.25,+2.87%,80.83,78.53,4678453,12/04/20
PNC,"PNC Bank",142.53,1.28,+0.91%,143.5,141.43,1526333,12/04/20
PNR,"Pentair Ltd",51.18,0.26,+0.51%,51.7,50.87,1104644,12/04/20
PNW,"Pinnacle West Capital Corp",82.41,1.01,+1.24%,82.71,81.29,1231281,12/04/20
POOL,"Pool Corp",324.27,-5.97,-1.81%,329.52,318.89,467800,12/04/20
PPG,"PPG Industries",146.93,1.5,+1.03%,147.74,146.02,1112557,12/04/20
PPL,"PPL Corp",28.61,0.15,+0.53%,28.75,28.43,5082181,12/04/20
PRGO,"Perrigo Company",49.87,1.54,+3.19%,49.9,48.34,737498,12/04/20
PRU,"Prudential Financial Inc",81.29,2.42,+3.07%,81.51,79.68,2001564,12/04/20
PSA,"Public Storage",224.5,-1.54,-0.68%,227.31,223.07,752690,12/04/20
PSX,"Phillips 66",69.32,4.3,+6.61%,69.92,66.52,4437462,12/04/20
PVH,"Phillips-Van Heusen Corp",91.53,3.39,+3.85%,91.75,87.58,2048050,12/04/20
PWR,"Quanta Services",70.73,1.36,+1.96%,71.67,69.34,1330139,12/04/20
PXD,"Pioneer Natural Resources Company",114.06,8.71,+8.27%,114.28,107.5,2575964,12/04/20
PYPL,"Paypal Holdings",217.77,3.23,+1.51%,218.55,213.01,6214600,12/04/20
QCOM,"Qualcomm Inc",157.62,7.71,+5.14%,158.09,150,12759900,12/04/20
QRVO,"Qorvo Inc",165.35,6.22,+3.91%,165.53,159.54,1322300,12/04/20
RCL,"Royal Caribbean Cruises Ltd",82.73,-1.67,-1.98%,83.75,80.43,8543130,12/04/20
RE,"Everest Re Group",234.64,2.07,+0.89%,236.09,233.14,263457,12/04/20
REG,"Regency Centers Corp",49.08,0.72,+1.49%,49.38,48.71,932200,12/04/20
REGN,"Regeneron Pharmaceuticals",492.45,-6.39,-1.28%,501.85,490.06,961200,12/04/20
RF,"Regions Financial Corp",16.17,0.14,+0.87%,16.35,16,16112137,12/04/20
RHI,"Robert Half International Inc",65.97,1.28,+1.98%,66.16,64.33,1056996,12/04/20
RJF,"Raymond James Financial",95.83,1.48,+1.57%,96.86,95.22,452172,12/04/20
RL,"Ralph Lauren Corp",96.21,-0.45,-0.47%,98,95.18,1573757,12/04/20
RMD,"Resmed Inc",209.69,2.29,+1.10%,209.92,206.88,305829,12/04/20
ROK,"Rockwell Automation Inc",247.96,2.72,+1.11%,249.72,245.28,582894,12/04/20
ROL,"Rollins Inc",55.55,0.4,+0.73%,56.13,55.14,733964,12/04/20
ROP,"Roper Industries",417.95,8.74,+2.14%,417.95,409.82,529803,12/04/20
ROST,"Ross Stores Inc",115.24,2.18,+1.93%,115.32,113.21,1362700,12/04/20
RSG,"Republic Services",95.67,0.92,+0.97%,95.69,94.63,2262822,12/04/20
RTX,"Raytheon Technologies Corp",73.91,0.61999999999999,+0.85%,74.66,73.38,9297932,12/04/20
SBAC,"SBA Communications",286.45,0.05,+0.02%,289.31,284.21,447500,12/04/20
SBUX,"Starbucks Corp",102.28,2.17,+2.17%,102.94,101.07,6952700,12/04/20
SCHW,"The Charles Schwab Corp",50.99,-0.079999999999998,-0.16%,51.81,50.96,7371353,12/04/20
SEE,"Sealed Air Corp",45.94,1.15,+2.57%,45.96,44.92,916681,12/04/20
SHW,"Sherwin-Williams Company",705.91,-2.14,-0.30%,714,703.11,695671,12/04/20
SIVB,"Svb Financial Group",358.32,1.85,+0.52%,360.27,354.12,234800,12/04/20
SJM,"J.M. Smucker Company",117.35,0.86999999999999,+0.75%,117.73,116.21,743441,12/04/20
SLB,"Schlumberger N.V.",23.45,1.38,+6.25%,23.5,22.46,16201289,12/04/20
SLG,"SL Green Realty Corp",63.9,1.71,+2.75%,66.3,63.33,1296150,12/04/20
SNA,"Snap-On Inc",181.13,3.68,+2.07%,181.23,177.22,393430,12/04/20
SNPS,"Synopsys Inc",236.88,2.41,+1.03%,240.12,234.57,1057400,12/04/20
SO,"Southern Company",61.52,-0.36,-0.58%,62.2,61.05,2928683,12/04/20
SPG,"Simon Property Group",93.91,4.28,+4.78%,94.36,90.71,5268464,12/04/20
SPGI,"S&P Global Inc",339.45,12.84,+3.93%,339.5,329.04,3059722,12/04/20
SRE,"Sempra Energy",128.17,-3.84,-2.91%,132.42,127.38,2493995,12/04/20
STE,"Steris Corp",193.49,0.80000000000001,+0.42%,194.1,192.17,355804,12/04/20
STT,"State Street Corp",76.38,2.5,+3.38%,76.43,74.13,2130217,12/04/20
STX,"Seagate Tech Ord Shs",64.07,1.73,+2.78%,64.32,62,3216500,12/04/20
STZ,"Constellation Brands Inc",213.79,4.01,+1.91%,213.79,209.67,1231561,12/04/20
SWK,"Stanley Black & Decker Inc",180.85,1.83,+1.02%,181.85,178.38,1163337,12/04/20
SWKS,"Skyworks Solutions",150.17,6.46,+4.50%,150.28,143.73,2174700,12/04/20
SYF,"Synchrony Financial",32.97,0.62,+1.92%,33.04,32.18,4127188,12/04/20
SYK,"Stryker Corp",239.59,4.81,+2.05%,239.59,234.19,844364,12/04/20
SYY,"Sysco Corp",78.12,3.44,+4.61%,78.14,74.89,4305552,12/04/20
T,"AT&T Inc",29.54,0.31,+1.06%,29.76,29.31,37725523,12/04/20
TAP,"Molson Coors Brewing Company",47.54,0.87,+1.86%,47.56,46.52,1751500,12/04/20
TDG,"Transdigm Group Inc",605.67,7.03,+1.17%,613.26,601,215063,12/04/20
TDY,"Teledyne Technologies Inc",392.79,9.16,+2.39%,393.73,384.23,125662,12/04/20
TEL,"Te Connectivity Ltd",119.66,1.69,+1.43%,120.18,118.16,1794643,12/04/20
TER,"Teradyne Inc",116.03,2.29,+2.01%,116.28,114,1167700,12/04/20
TFC,"Truist Financial Corp",48.23,0.82,+1.73%,48.31,47.41,4872022,12/04/20
TFX,"Teleflex Inc",386.97,8.98,+2.38%,387.41,375.94,173609,12/04/20
TGT,"Target Corp",175.03,0.11000000000001,+0.06%,175.16,173.23,2935688,12/04/20
TIF,"Tiffany & Company",131.26,-0.13,-0.10%,131.37,131.21,2400529,12/04/20
TJX,"TJX Companies",66.63,0.72,+1.09%,66.76,65.92,6593843,12/04/20
TMO,"Thermo Fisher Scientific Inc",474.62,-2.58,-0.54%,478.72,469.24,1649974,12/04/20
TMUS,"T-Mobile US",131.8,0.61,+0.46%,131.98,130.68,2029100,12/04/20
TPR,"Tapestry Inc",29.35,0.080000000000002,+0.27%,29.62,28.89,4775212,12/04/20
TROW,"T Rowe Price Group",152.53,2.46,+1.64%,153.24,149.01,971200,12/04/20
TRV,"The Travelers Companies Inc",136.16,1.07,+0.79%,136.19,134.21,934619,12/04/20
TSCO,"Tractor Supply Company",134.38,-0.42,-0.31%,136.09,133.68,1053200,12/04/20
TSN,"Tyson Foods",70.1,0.97,+1.40%,70.21,68.51,2808736,12/04/20
TT,"Trane Technologies Plc",141.85,0.13,+0.09%,143.28,141.23,1305513,12/04/20
TTWO,"Take-Two Interacti",180.73,-0.03,-0.02%,181.65,178.89,1126500,12/04/20
TWTR,"Twitter Inc",47.73,-0.060000000000002,-0.13%,48.34,47.67,6275308,12/04/20
TXN,"Texas Instruments",166.52,4.54,+2.80%,166.6,162.52,3741500,12/04/20
TXT,"Textron Inc",47.8,0.48,+1.01%,48.14,47.34,1000106,12/04/20
TYL,"Tyler Technologies",420.44,2.91,+0.70%,425.14,415.95,142736,12/04/20
UA,"Under Armour Inc Cl C",14.83,-0.14,-0.94%,15.16,14.68,3573852,12/04/20
UAA,"Under Armour",16.83,-0.17,-1.00%,17.16,16.7,4249862,12/04/20
UAL,"United Airlines Holdings Inc",49.24,-0.67,-1.34%,51.31,48.77,26300600,12/04/20
UDR,"United Dominion Realty Trust",40.68,0.68,+1.70%,40.86,40.13,1790410,12/04/20
UHS,"Universal Health Services",135.18,2.78,+2.10%,135.73,132.86,339258,12/04/20
ULTA,"Ulta Beauty Inc",279.54,-9.99,-3.45%,289.9,276.56,2707400,12/04/20
UNH,"Unitedhealth Group Inc",349.89,1.21,+0.35%,351.47,345.75,3255426,12/04/20
UNM,"Unumprovident Corp",24.26,0.85,+3.63%,24.33,23.67,3098253,12/04/20
UNP,"Union Pacific Corp",206.05,3.79,+1.87%,206.42,202.1,2979900,12/04/20
UPS,"United Parcel Service",167.25,-0.58000000000001,-0.35%,168.6,166.34,2766200,12/04/20
URI,"United Rentals",245.62,8.67,+3.66%,245.81,238.6,783564,12/04/20
USB,"U.S. Bancorp",45.37,0.4,+0.89%,45.63,45.04,6634859,12/04/20
V,"Visa Inc",212.68,4.63,+2.23%,212.72,208.51,5720129,12/04/20
VAR,"Varian Medical Systems",174.66,0.25,+0.14%,174.68,174.27,587290,12/04/20
VFC,"V.F. Corp",89.15,2.93,+3.40%,89.19,86.42,1702532,12/04/20
VIAC,"Viacomcbs Inc Cl B",36.95,0.37,+1.00%,37,36.24,8736500,12/04/20
VLO,"Valero Energy Corp",61.27,3.36,+5.80%,61.67,59.06,5207097,12/04/20
VMC,"Vulcan Materials Company",146.44,1.87,+1.29%,146.72,144.1,612800,12/04/20
VNO,"Vornado Realty Trust",41.63,1.34,+3.33%,41.64,40.4,1908632,12/04/20
VNT,"Vontier Corp [Vnt/I]",33.07,-0.11,-0.33%,33.53,32.78,1358137,12/04/20
VRSK,"Verisk Analytics Inc",195.68,1.83,+0.94%,196.2,194.11,569400,12/04/20
VRSN,"Verisign Inc",203.99,3.18,+1.58%,204.54,200.87,554600,12/04/20
VRTX,"Vertex Pharmaceutic",228.32,1.45,+0.64%,230.21,225.59,948900,12/04/20
VTR,"Ventas Inc",49.46,0.64,+1.31%,49.61,48.84,1893118,12/04/20
VTRS,"Viatris Inc",17.6,0.23,+1.32%,17.7,17.25,15946900,12/04/20
VZ,"Verizon Communications Inc",61.55,-0.19,-0.31%,61.8,61.26,10495842,12/04/20
WAB,"Wabtec Corp",75.53,2.4,+3.28%,75.63,73.85,1034370,12/04/20
WAT,"Waters Corp",237.74,5.15,+2.21%,238,233.24,377022,12/04/20
WBA,"Walgreens Boots Alliance",43.41,0.59,+1.38%,43.45,41.72,11221400,12/04/20
WDC,"Western Digital Cp",51.75,3.27,+6.75%,51.82,48.91,6454300,12/04/20
WEC,"Wisconsin Energy Corp",93.29,-1.09,-1.15%,94.64,92.75,925779,12/04/20
WELL,"Welltower Inc",64.2,1.01,+1.60%,64.61,63.58,2386234,12/04/20
WFC,"Wells Fargo & Company",29.55,0.39,+1.34%,29.97,29.34,47168819,12/04/20
WHR,"Whirlpool Corp",184.07,-2.82,-1.51%,188.33,183,697283,12/04/20
WLTW,"Willis Towers WT",214.49,1.67,+0.78%,215.84,212.52,741600,12/04/20
WM,"Waste Management",117.54,0.40000000000001,+0.34%,117.67,116.8,1638514,12/04/20
WMB,"Williams Companies",22.49,0.93,+4.31%,22.55,21.78,11615678,12/04/20
WMT,"Wal-Mart Stores",148.91,-0.39000000000001,-0.26%,149.51,147.58,6963068,12/04/20
WRB,"W.R. Berkley Corp",67.59,0.64,+0.96%,67.67,66.78,565551,12/04/20
WRK,"Westrock Company",44.48,1.62,+3.78%,44.76,43.5,1497712,12/04/20
WST,"West Pharmaceutical Services",271.55,-0.69,-0.25%,274.35,270.72,312430,12/04/20
WU,"Western Union Company",21.7,-0.23,-1.05%,22.05,21.66,7127204,12/04/20
WY,"Weyerhaeuser Company",30.72,1.23,+4.17%,31.05,29.92,7325885,12/04/20
WYNN,"Wynn Resorts Ltd",113.5,5.01,+4.62%,113.52,108.2,2997600,12/04/20
XEL,"XCEL Energy Inc",65.75,-1.56,-2.32%,67.54,65.41,2265500,12/04/20
XLNX,"Xilinx Inc",147.91,3.52,+2.44%,148.93,142.28,2264500,12/04/20
XOM,"Exxon Mobil Corp",41.68,1.47,+3.66%,41.76,40.65,28723633,12/04/20
XRAY,"Dentsply Sirona Inc",53.75,1.6,+3.07%,53.95,52.19,1055600,12/04/20
XRX,"Xerox Corp",23.35,0.63,+2.77%,23.48,22.88,1827591,12/04/20
XYL,"Xylem Inc",98.41,1.66,+1.72%,99.39,97.48,886185,12/04/20
YUM,"Yum! Brands",105.86,1.34,+1.28%,106.15,104.77,896993,12/04/20
ZBH,"Zimmer Biomet Holdings",149.05,2.74,+1.87%,149.1,145.6,621048,12/04/20
ZBRA,"Zebra Technologies",378.47,6.1,+1.64%,380.95,375,255900,12/04/20
ZION,"Zions Bancorp",44.01,1.6,+3.76%,44.3,43,2967900,12/04/20
ZTS,"Zoetis Inc Cl A",157.95,0.88,+0.56%,158.22,156.66,1497282,12/04/20
"Downloaded from Barchart.com as of 12-05-2020 02:02pm CST"
