,Mean,Median,STD,+1SD,-1SD,L3 Rel to Self,.30,.70,L3 Touches,Mean Rel to Peers,SD Rel to Peers,Mean Rel to Peers RK,STD Rel to Peers RK,Avg Rank Rel to Peers
Alvin Kamara,0.8677869861729864,0.6819298245614036,0.47063609494177333,1.3384230811147597,0.3971508912312131,0.35768063170275094,0.5173657289002558,1.1168,20.0,0.942717835649299,0.0075654075370092805,8.0,24.0,16.0
Derrick Henry,0.8929270169777733,0.8161257606490872,0.5291892284999687,1.422116245477742,0.3637377884778046,0.45924094990270964,0.5344444444444444,1.0795,24.0,1.1249383074698571,0.21843700574160782,6.0,31.0,18.5
Dalvin Cook,0.7684220234627369,0.7574675324675324,0.29715780478034376,1.0655798282430806,0.47126421868239315,0.4132649352576117,0.6575,0.9451724137931035,25.0,0.22249873456346292,-0.6171943973978296,17.0,7.0,12.0
Aaron Jones,0.9110303853827701,0.7944444444444445,0.5061869134500877,1.417217298832858,0.40484347193268244,-0.19100781444357598,0.6314035087719299,1.1378181818181818,17.0,1.2561555027833882,0.13559711926220697,4.0,29.0,16.5
Ezekiel Elliott,0.710453245494796,0.6583717357910907,0.26550781007166957,0.9759610555664656,0.4449454354231265,0.261938639343343,0.5503333333333333,0.8307857142857142,20.0,-0.19767171606971826,-0.7311777926802,20.0,4.0,12.0
Kareem Hunt,1.1232758616046281,0.692063492063492,1.59254356100688,2.715819422611508,-0.469267699402252,-0.12312516311411145,0.61,1.0486290322580647,16.333333333333332,2.7945573893698543,4.047971207026585,1.0,37.0,19.0
Chris Carson,0.7094808881134346,0.6816498316498316,0.2552352438574904,0.964716131970925,0.45424564425594416,0.6129874957634844,0.5628846153846154,0.7725,16.666666666666668,-0.20471957620106515,-0.7681731219411619,21.0,3.0,12.0
Joe Mixon,0.6050065014754592,0.5735177865612648,0.2690166821020697,0.874023183577529,0.3359898193733895,0.38142610777128677,0.4163684210526316,0.7202380952380952,27.0,-0.9619729055291424,-0.7185410402472924,29.0,5.0,17.0
Todd Gurley,0.8343666288530183,0.8487903225806452,0.34404057044420916,1.1784071992972274,0.4903260584088091,0.030366298688287222,0.6490448343079922,1.0902488687782805,19.333333333333332,0.7004797363190197,-0.4483521318687759,10.0,14.0,12.0
James Conner,0.7106332833236185,0.75,0.2989789014751464,1.009612184798765,0.41165438184847214,0.30421550756565363,,,20.333333333333332,-0.19636676229427044,-0.610635951296282,19.0,8.0,13.5
Raheem Mostert,0.8990312257917522,0.7933333333333333,0.6006952364010233,1.4997264621927755,0.2983359893907289,0.12369351884118705,,,14.333333333333334,1.1691829553309347,0.47595671905190495,5.0,33.0,19.0
Nick Chubb,0.6935620979521036,0.6546583850931678,0.34930356921132993,1.0428656671634335,0.3442585287407736,0.8454731556381881,0.48962962962962964,0.8233333333333334,16.333333333333332,-0.3201024679936191,-0.42939811704617803,23.0,15.0,19.0
Jerick McKinnon,0.7002012842866414,0.5614583333333334,0.7924457666468671,1.4926470509335084,-0.09224448236022564,-0.35178774951081015,0.3666666666666667,0.7842857142857143,10.666666666666666,-0.2719801854165534,1.1665216523416422,22.0,35.0,28.5
Melvin Gordon,0.8188233601392569,0.8251207729468599,0.3400127694593156,1.1588361295985725,0.47881059067994136,-0.49222575653578604,0.6302173913043478,0.9328000000000001,19.333333333333332,0.5878187065594216,-0.4628577403532545,11.0,13.0,12.0
Kenyan Drake,0.773489952632155,0.566875,0.48140392180497044,1.2548938744371254,0.2920860308271846,-0.6878107322011813,0.44125000000000003,0.9223333333333332,17.0,0.25923219967237204,0.04634435448399079,16.0,26.0,21.0
Christian McCaffrey,0.8776768579067752,0.8080645161290323,0.33640201427536925,1.2140788721821445,0.5412748436314059,0.2781327009471899,0.6461621621621622,0.9994318181818183,21.333333333333332,1.0144018008587865,-0.47586141189215764,7.0,12.0,9.5
Austin Ekeler,0.9420027254909769,0.8598214285714285,0.4810653713433459,1.4230680968343228,0.46093735414763093,-0.5104869719312147,0.6458333333333334,1.0411371237458193,15.333333333333334,1.4806498350190351,0.04512510843211706,2.0,25.0,13.5
Adrian Peterson,0.5764601263500089,0.5505714285714286,0.34952050642492943,0.9259806327749383,0.22693961992507944,0.23881489685196705,0.34753623188405797,0.6789411764705883,16.666666666666668,-1.1688833100754943,-0.428616845504215,32.0,16.0,24.0
Malcolm Brown,0.8352074936557695,0.44000000000000006,1.4080811099194597,2.243288603575229,-0.5728736162636902,-0.3294821932611998,,,9.333333333333334,0.7065745093240495,3.383653355773045,9.0,36.0,22.5
Mark Ingram,0.8163949357423622,0.5946428571428573,0.448546872606349,1.2649418083487112,0.3678480631360132,-0.33680999612070084,0.5093846153846154,1.067777777777778,8.333333333333334,0.5702169524956018,-0.07198609268010733,12.0,23.0,17.5
Nyheim Hines,0.6703002206127207,0.5633333333333335,0.4100142286949222,1.0803144493076429,0.26028599191779844,-0.49123010283063895,0.45818181818181813,0.6561538461538463,7.333333333333333,-0.4887096704719549,-0.21075646602956202,26.0,20.0,23.0
Gus Edwards,0.6232848422265478,0.537912087912088,0.3749343960745027,0.9982192383010504,0.2483504461520451,-0.4233662724418096,0.42305555555555563,0.6799999999999999,10.0,-0.8294874721729468,-0.3370919825064988,28.0,17.0,22.5
Devonta Freeman,0.553752738185304,0.4928571428571429,0.2451326299177213,0.7988853681030254,0.3086201082675827,-0.1825415500462217,0.41500000000000004,0.67175,17.666666666666668,-1.3334714530779768,-0.8045563898905336,35.0,2.0,18.5
Jamaal Williams,0.6377155916999667,0.5285714285714286,0.42239991700977997,1.0601155087097467,0.21531567469018675,-0.12945049279682122,0.3947727272727273,0.7481249999999999,9.0,-0.724890226521602,-0.16615099863434155,27.0,22.0,24.5
Sony Michel,0.5804396418357353,0.46496212121212127,0.29655054980447415,0.8769901916402094,0.2838890920312611,0.8686961004997814,0.3712299465240642,0.7311111111111112,9.333333333333334,-1.1400389066991785,-0.6193813482832514,31.0,6.0,18.5
Giovani Bernard,0.5858270781398685,0.4690909090909091,0.38707388846031276,0.9729009666001812,0.1987531896795557,0.33802225473603215,0.4,0.7616666666666666,4.666666666666667,-1.1009895836149988,-0.29337315816306564,30.0,19.0,24.5
James White,0.9307042395652594,0.845959595959596,0.49653653978310885,1.4272407793483683,0.43416769978215053,-0.6335749803862673,0.5930000000000001,1.2098538011695905,10.0,1.3987559243779168,0.10084253663333971,3.0,27.0,15.0
Jalen Richard,0.8004724702380953,0.61875,0.7392081943801148,1.53968066461821,0.061264275857980555,-0.32380777289368085,0.5177777777777778,0.8116666666666666,4.0,0.45480742100920346,0.974793366147272,13.0,34.0,23.5
Carlos Hyde,0.5061034069729649,0.47375000000000006,0.31744138361742447,0.8235447905903893,0.1886620233555404,0.6888153500882667,0.351,0.6177884615384616,6.333333333333333,-1.678844284275671,-0.5441456905778422,37.0,10.0,23.5
Phillip Lindsay,0.6931425726039844,0.5700000000000001,0.37493780464409165,1.068080377248076,0.3182047679598927,-0.8075586824745955,0.4406315789473685,0.8115686274509804,16.333333333333332,-0.3231432799746611,-0.33707970698044,24.0,18.0,21.0
Tarik Cohen,0.7814151213369964,0.6348214285714286,0.5186275770511762,1.3000426983881725,0.2627875442858202,-0.3547973961890419,0.49069230769230776,0.9490000000000001,6.666666666666667,0.316675565269949,0.18040057309751636,15.0,30.0,22.5
Le'Veon Bell,0.5670676844765044,0.49786967418546374,0.23920249563794208,0.8062701801144464,0.3278651888385623,-0.3915301377355297,0.40483870967741936,0.6531969309462915,14.333333333333334,-1.2369617942677762,-0.8259130076691886,33.0,1.0,17.0
Royce Freeman,0.5569603075104721,0.5,0.31539323108016093,0.872353538590633,0.24156707643031117,-0.23520647376810688,0.3485964912280701,0.6579166666666667,6.0,-1.3102222852321688,-0.5515218491649878,34.0,9.0,21.5
Duke Johnson,0.7928498931623932,0.6325396825396825,0.5023300553865984,1.2951799485489914,0.2905198377757948,-0.7438997975308008,0.5383333333333333,0.9299999999999999,5.666666666666667,0.3995573060825926,0.12170713977736936,14.0,28.0,21.0
Tevin Coleman,0.7281908678025406,0.615,0.5430463730320836,1.2712372408346242,0.18514449477045702,-0.7087010494524921,0.42433333333333334,0.8187412587412587,9.0,-0.06910552890034373,0.2683417339169999,18.0,32.0,25.0
Marlon Mack,0.6774953563933344,0.7326923076923078,0.320664121157302,0.9981594775506364,0.3568312352360324,1.013824792826702,0.4354166666666667,0.8155555555555556,13.333333333333334,-0.4365577440508161,-0.5325394148017987,25.0,11.0,18.0
LeSean McCoy,0.5438703012387224,0.4276923076923077,0.41634621670083455,0.960216517939557,0.12752408453788783,0.0067164425081198634,0.275,0.5383333333333334,3.0,-1.4051015293148021,-0.18795262361364753,36.0,21.0,28.5
